decade,position,artist,song,indicativerevenue,us,uk,de,fr,ca,au
"2020s","1","The Weeknd","Blinding Lights","23469.0071547005","1","1","1","1","1","1"
"2020s","2","Roddy Ricch","The Box","20725.3995234279","1","2","12","7","1","4"
"2020s","3","Dua Lipa","Don't Start Now","18787.1374492483","2","3","10","12","3","2"
"2020s","4","Post Malone","Circles","15836.9211246438","1","19","37","77","3","5"
"2020s","5","Future & Drake","Life Is Good","14851.5410492786","2","3","8","33","3","11"
"2020s","6","Tones And I","Dance Monkey","14801.7396218912","4","-","1","3","1","1"
"2020s","7","Maroon 5","Memories","14098.034799363","2","13","20","15","2","4"
"2020s","8","Lewis Capaldi","Someone You Loved","13441.9239493555","4","6","29","52","5","16"
"2020s","9","Harry Styles","Adore You","13031.121072802","6","7","83","126","10","7"
"2020s","10","Billie Eilish","everything i wanted","12258.1021911985","9","6","22","38","13","9"
"2020s","11","Arizona Zervas","Roxanne","11961.8175113927","4","4","27","16","3","3"
"2020s","12","Justin Bieber & Quavo","Intentions","11956.9489337503","5","8","23","58","4","2"
"2020s","13","Trevor Daniel","Falling","11765.9651028149","17","14","13","21","13","13"
"2020s","14","Lewis Capaldi","Before You Go","9068.44480367219","25","1","42","49","18","7"
"2020s","15","blackbear","Hot Girl Bummer","8914.26624359905","11","35","34","110","33","24"
"2020s","16","Drake","Toosie Slide","8757.9549110966","1","1","2","4","2","3"
"2020s","17","Maren Morris","The Bones","8652.58075162057","12","-","-","-","45","-"
"2020s","18","Lil Mosey","Blueberry Faygo","8437.9031286276","8","9","37","109","8","16"
"2020s","19","Doja Cat","Say So","7885.69710506318","9","2","33","9","4","4"
"2020s","20","Camila Cabello & DaBaby","My Oh My","7834.82295858378","12","-","53","142","13","19"
"2020s","21","Billie Eilish","Bad Guy","7685.37952620773","14","15","19","37","6","3"
"2020s","22","Roddy Ricch & Mustard","High Fashion","7556.51970768698","20","45","-","-","30","-"
"2020s","23","Eminem & Juice WRLD","Godzilla","7478.40555749574","3","1","16","45","3","3"
"2020s","24","Mustard & Roddy Ricch","Ballin'","7325.78338619179","11","37","-","-","34","-"
"2020s","25","SAINt JHN","Roses","7061.37802077591","4","1","-","-","1","-"
"2020s","26","Dan & Shay & Justin Bieber","10,000 Hours","7054.1983767562","5","-","-","-","13","19"
"2020s","27","Halsey","You Should Be Sad","6974.33146197109","26","12","43","141","21","4"
"2020s","28","The Weeknd","Heartless","6828.04066420968","4","25","77","69","11","30"
"2020s","29","Gabby Barrett","I Hope","6602.71257721311","16","-","-","-","32","-"
"2020s","30","Surfaces","Sunday Best","6523.92193013823","19","36","50","29","8","10"
"2020s","31","Justin Bieber","Yummy","6493.41733899102","2","5","15","21","3","4"
"2020s","32","Selena Gomez","Lose You To Love Me","6412.1592663719","5","10","47","58","9","20"
"2020s","33","DaBaby","BOP","6169.6232754261","12","66","-","84","27","-"
"2020s","34","Lizzo","Good As Hell","6143.30496527629","6","41","100","59","10","9"
"2020s","35","Doja Cat & Nicki Minaj","Say So","5970.86947048971","1","-","-","-","3","-"
"2020s","36","Megan Thee Stallion & Beyonce","Savage","5949.76110015047","1","-","-","-","9","-"
"2020s","37","Benee & Gus Dapperton","Supalonely","5814.64019128463","39","18","26","36","10","6"
"2020s","38","Dua Lipa","Break My Heart","5808.14552683777","17","6","26","61","13","7"
"2020s","39","Pop Smoke","Dior","5588.72668358236","22","33","59","59","28","-"
"2020s","40","Shawn Mendes & Camila Cabello","Senorita","5561.07377442591","11","30","36","30","8","20"
"2020s","41","SAINt JHN","Roses (Imanbek Remix)","5306.8081119939","55","-","3","2","6","1"
"2020s","42","DaBaby & Roddy Ricch","Rockstar","5303.01963573782","1","-","-","-","1","-"
"2020s","43","Morgan Wallen","Chasin' You","5294.81350586357","16","-","-","-","44","-"
"2020s","44","Blake Shelton Duet With Gwen Stefani","Nobody But You","5270.07735734014","18","-","-","-","38","-"
"2020s","45","Karol G & Nicki Minaj","Tusa","5209.41131337785","42","-","79","6","98","-"
"2020s","46","The Black Eyed Peas & J Balvin","RITMO (Bad Boys For Life)","5201.55856459673","26","-","-","-","31","-"
"2020s","47","Lady GaGa","Stupid Love","5172.66270033191","5","5","21","36","7","7"
"2020s","48","Travi$ Scott","Highest In The Room","5150.91667601398","8","25","21","22","11","15"
"2020s","49","Regard","Ride It","4989.98103937781","-","11","4","13","-","6"
"2020s","50","Chris Brown & Drake","No Guidance","4947.61002960351","15","-","-","-","-","-"
"2020s","51","Jonas Brothers","What A Man Gotta Do","4872.49555942489","16","22","67","152","19","22"
"2020s","52","Lil Baby","Woah","4631.75332753898","15","73","-","-","43","-"
"2020s","53","Dua Lipa","Physical","4578.46912190243","60","3","14","30","54","9"
"2020s","54","The Scotts","The Scotts","4533.83402860118","1","11","8","2","1","4"
"2020s","55","Carly Pearce & Lee Brice","I Hope You're Happy Now","4446.60814107394","27","-","-","-","51","-"
"2020s","56","Rod Wave","Heart On Ice","4415.93958312654","25","-","-","-","77","-"
"2020s","57","Topic & A7s","Breaking Me","4402.33445798239","-","3","3","18","20","4"
"2020s","58","The Weeknd","In Your Eyes","4289.06936332729","16","17","68","31","13","13"
"2020s","59","Harry Styles","Watermelon Sugar","4207.95464291649","7","6","51","66","4","6"
"2020s","60","Lil Baby","Sum 2 Prove","4205.27309253821","16","94","-","-","43","-"
"2020s","61","Lady Gaga & Ariana Grande","Rain On Me","4101.48197589842","1","1","9","12","1","2"
"2020s","62","Powfu & Beabadoobee","Death Bed","4004.51839504446","-","4","18","19","-","5"
"2020s","63","Powfu & beabadoobee","Death Bed","3939.52063208205","23","-","-","-","11","-"
"2020s","64","Jhene Aiko","P*$$y Fairy (OTW)","3909.17167632036","40","-","-","-","-","-"
"2020s","65","Ariana Grande & Justin Bieber","Stuck With U","3889.91629660503","1","4","19","29","1","3"
"2020s","66","Jack Harlow & DaBaby, Tory Lanez & Lil Wayne","WHATS POPPIN","3885.03794579967","2","-","-","-","4","-"
"2020s","67","Ed Sheeran & Justin Bieber","I Don't Care","3752.68500998684","28","27","45","98","17","30"
"2020s","68","H.E.R. & YG","Slide","3712.44415532812","43","-","-","-","-","-"
"2020s","69","Kane Brown","Homesick","3605.1826361385","35","-","-","-","78","-"
"2020s","70","Ingrid Andress","More Hearts Than Mine","3471.43925479769","30","-","-","-","55","-"
"2020s","71","JACKBOYS & Young Thug","OUT WEST","3446.91357600691","38","-","-","-","29","-"
"2020s","72","SHAED","Trampoline","3446.74819138923","16","-","82","29","39","-"
"2020s","73","Russ & BIA","BEST ON EARTH","3409.11437440102","46","-","-","-","-","-"
"2020s","74","Lil Baby","Emotionally Scarred","3373.44799977496","31","78","-","-","85","-"
"2020s","75","Luke Combs & Eric Church","Does To Me","3334.18500439198","20","-","-","-","38","-"
"2020s","76","StaySolidRocky","Party Girl","3212.91023256412","21","13","61","103","15","19"
"2020s","77","Dababy & Roddy Ricch","Rockstar","3184.72032845773","-","1","3","6","-","1"
"2020s","78","6ix9ine","Gooba","3134.73568320246","3","6","-","7","2","14"
"2020s","79","PARTYNEXTDOOR & Rihanna","Believe It","3087.9476458579","23","12","58","48","39","28"
"2020s","80","Khalid & Disclosure","Know Your Worth","2996.06825880143","57","27","-","-","46","31"
"2020s","81","Jordan Davis","Slow Dance In A Parking Lot","2993.93609341085","37","-","-","-","-","-"
"2020s","82","Lil Nas X & Billy Ray Cyrus","Old Town Road","2986.26659080315","15","34","32","22","7","16"
"2020s","83","Meduza & Becky Hill & Goodboys","Lose Control","2966.96458336293","-","15","30","53","46","11"
"2020s","84","Megan Thee Stallion","Savage","2961.74819183925","20","3","33","26","22","4"
"2020s","85","Sam Hunt","Hard To Forget","2909.86288536754","26","-","-","-","32","-"
"2020s","86","Thomas Rhett & Jon Pardi","Beer Can't Fix","2905.04351614755","36","-","-","-","45","-"
"2020s","87","Marshmello & Halsey","Be Kind","2887.55932832216","29","33","54","-","18","15"
"2020s","88","Brett Young","Catch","2809.73062236868","29","-","-","-","73","-"
"2020s","89","Ed Sheeran & Camila Cabello & Cardi B","South Of The Border","2780.05145932136","49","17","42","75","-","19"
"2020s","90","Robin Schulz & Alida","In Your Eyes","2759.85927661193","-","-","5","52","-","-"
"2020s","91","Luke Bryan","What She Wants Tonight","2758.03049728062","46","-","-","-","93","-"
"2020s","92","Jake Owen","Homemade","2734.90403065294","39","-","-","-","100","-"
"2020s","93","Doja Cat & Tyga","Juicy","2726.32288461218","41","-","-","-","57","-"
"2020s","94","JP Saxe & Julia Michaels","If The World Was Ending","2718.23901530518","50","-","-","-","13","-"
"2020s","95","Billie Eilish","No Time To Die","2683.8133959521","16","1","5","26","11","4"
"2020s","96","NLE Choppa & Roddy Ricch","Walk Em Down","2682.53754024163","38","-","-","-","49","-"
"2020s","97","Old Dominion","One Man Band","2656.03819719298","26","-","-","-","-","-"
"2020s","98","Diplo, Thomas Wesley & Morgan Wallen","Heartless","2652.86703917323","39","-","-","-","74","-"
"2020s","99","Young T & Bugsey & Headie One","Don't Rush","2631.37821757014","56","19","-","31","64","-"
"2020s","100","The Weeknd","After Hours","2627.76123410957","20","20","35","44","14","11"
"2020s","101","Apache 207","Roller","2597.22187769299","-","-","3","-","-","-"
"2020s","102","Jack Harlow","WHATS POPPIN","2566.69077214474","48","29","81","-","32","22"
"2020s","103","YNW Melly","Suicidal","2562.33134686776","34","37","-","-","30","50"
"2020s","104","Lil Uzi Vert","That Way","2553.24685514086","20","47","-","-","27","-"
"2020s","105","Bad Bunny","Yo perreo sola","2534.13212743241","53","-","-","-","-","-"
"2020s","106","Sam Hunt","Kinfolks","2518.15629551619","34","-","-","-","70","-"
"2020s","107","Demi Lovato","I Love Me","2517.43533187261","18","35","89","-","30","-"
"2020s","108","Travis Denning","After A Few","2517.06897742369","31","-","-","-","59","-"
"2020s","109","Surf Mesa & Emilee","ILY (I Love You Baby)","2509.91458537288","-","22","7","12","-","17"
"2020s","110","Bad Bunny","Vete","2497.5553283628","36","-","-","-","-","-"
"2020s","111","Lil Uzi Vert","Futsal Shuffle 2020","2471.85493092728","5","91","-","-","8","-"
"2020s","112","Nea","Some Say","2440.13210173354","-","-","15","14","-","-"
"2020s","113","Juice WRLD & Youngboy Never Broke Again","Bandit","2354.05236177029","19","55","-","-","18","49"
"2020s","114","Doja Cat","Boss Bitch","2327.27259994354","100","24","31","44","27","17"
"2020s","115","Drake & Giveon","Chicago Freestyle","2310.37758365217","14","10","-","62","13","-"
"2020s","116","Miranda Lambert","Bluebird","2305.27544932536","33","-","-","-","46","-"
"2020s","117","Twenty One Pilots","Level Of Concern","2189.2414753094","23","42","-","-","53","-"
"2020s","118","Lizzo","Truth Hurts","2170.2602806359","18","-","-","-","-","41"
"2020s","119","Jonas Brothers","Only Human","2167.11347212787","25","-","-","97","41","-"
"2020s","120","Don Toliver","After Party","2163.23736162852","57","47","-","-","35","34"
"2020s","121","Lil Baby & 42 Dugg","Grace","2147.38393351907","48","-","-","-","-","-"
"2020s","122","Don Toliver","No Idea","2146.64850873921","43","39","86","96","19","43"
"2020s","123","Juice WRLD","Righteous","2137.01719710433","11","26","48","186","9","15"
"2020s","124","Sam Smith","To Die For","2126.3001018874","46","18","90","-","56","15"
"2020s","125","Chris Brown & Young Thug","Go Crazy","2109.37729096108","28","27","-","-","64","14"
"2020s","126","BrockHampton","Sugar","2068.39591466878","66","58","-","-","21","19"
"2020s","127","Kenny Chesney","Here And Now","2065.83421137866","38","-","-","-","73","-"
"2020s","128","Lil Baby & 42 Dugg","We Paid","2063.89595466963","10","89","-","-","42","-"
"2020s","129","Stormzy, Ed Sheeran & Burna Boy","Own It","2057.32722244062","-","1","-","-","-","40"
"2020s","130","Jason Aldean","We Back","2047.17593059913","62","-","-","-","-","-"
"2020s","131","Ava Max","Kings & Queens","2036.08691975627","-","19","16","39","92","-"
"2020s","132","Dustin Lynch","Ridin' Roads","2033.75312770468","47","-","-","-","-","-"
"2020s","133","Tones & I","Dance Monkey","2027.88763618685","-","5","-","-","-","-"
"2020s","134","Riley Green","I Wish Grandpas Never Died","2026.53880807881","66","-","-","-","95","-"
"2020s","135","Black Eyed Peas & J Balvin","RITMO (Bad Boys For Life)","2021.09243556414","-","-","24","10","-","-"
"2020s","136","SZA & Justin Timberlake","The Other Side","1969.39140940544","61","44","88","-","54","43"
"2020s","137","Young Thug & Gunna","Hot","1943.80975666969","21","-","-","-","41","-"
"2020s","138","Luke Bryan","One Margarita","1919.01621135345","19","-","-","-","30","-"
"2020s","139","Ava Max","Salt","1896.22444533925","-","-","10","38","-","-"
"2020s","140","Selena Gomez","Rare","1876.30271383116","30","28","42","73","21","22"
"2020s","141","Noah Cyrus & Leon Bridges","July","1836.90320725793","85","-","-","-","40","-"
"2020s","142","Thomas Rhett & Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban","Be A Light","1830.4408977324","58","-","-","-","88","-"
"2020s","143","Jonas Brothers","Sucker","1829.09083087757","29","-","-","-","-","-"
"2020s","144","Ali Gatie","What If I Told You That I Love You","1822.40630345292","95","57","8","172","34","46"
