,index,Track,Artist,Album,Plays,Year,Month,Hour,Temperature
0,168,Location,Khalid,American Teen,627,2017.0,7.0,12.0,68.0
1,165,Saved,Khalid,American Teen,575,2018.0,7.0,8.0,62.5
2,383,Young Dumb & Broke,Khalid,American Teen,572,2017.5,7.0,12.0,67.5
3,213,Ivy,Frank Ocean,Blonde,533,2018.0,8.0,9.0,63.5
4,176,Thinkin Bout You,Frank Ocean,channel ORANGE,505,2018.0,8.0,10.0,63.0
5,132,Nothing Without You,The Weeknd,Starboy,494,2017.0,8.0,7.0,67.5
6,138,Ex Calling,6LACK,Free 6LACK,494,2017.0,8.0,8.0,66.0
7,149,Angels,Khalid,American Teen,470,2018.0,8.0,6.0,57.5
8,182,Die for You,The Weeknd,Starboy,468,2017.0,8.0,6.0,62.0
9,214,Reasons,Khalid,Reasons,452,2018.0,7.0,6.0,59.75
10,238,PILLOWTALK,Zayn,PILLOWTALK,447,2018.0,7.0,5.0,60.5
11,158,All of Me,John Legend,Love In The Future (Expanded Edition),435,2018.0,8.0,4.0,60.5
12,237,Winter,Khalid,American Teen,432,2018.0,8.0,10.0,58.75
13,160,Weekend (feat. Miguel),Mac Miller,GO:OD AM,424,2018.0,8.0,8.0,62.75
14,145,Therapy,Khalid,American Teen,420,2018.0,3.0,6.5,55.75
15,236,Coaster,Khalid,American Teen,417,2018.0,8.0,5.0,57.5
16,235,American Teen,Khalid,American Teen,415,2018.0,9.0,12.0,61.0
17,402,8TEEN,Khalid,American Teen,414,2017.0,7.0,12.0,67.5
18,260,L$D,A$AP Rocky,AT.LONG.LAST.A$AP,411,2017.0,8.0,7.0,67.5
19,175,Gravity,John Mayer,Continuum,407,2018.0,7.0,5.0,56.5
20,398,Better,Lil Yachty,Teenage Emotions,407,2018.0,8.0,8.0,55.5
21,150,Cough Syrup,Young the Giant,Young the Giant (Special Edition),400,2019.0,4.0,7.0,59.5
22,155,Another Sad Love Song,Khalid,American Teen,394,2018.0,9.0,11.0,62.5
23,180,Smoke Break (feat. Future),Chance the Rapper,Coloring Book,391,2017.0,8.0,7.0,64.0
24,148,Pink + White,Frank Ocean,Blonde,391,2018.0,8.0,8.0,55.0
25,151,Super Rich Kids,Frank Ocean,channel ORANGE,388,2018.0,8.0,10.0,63.5
26,178,All I Want,Kodaline,In a Perfect World,387,2018.0,4.0,5.0,55.5
27,212,first take,Travis Scott,Birds in the Trap Sing McKnight,382,2017.0,8.0,8.0,63.75
28,396,One Love/People Get Ready,Bob Marley & The Wailers,Exodus,374,2017.0,11.0,4.0,53.5
29,167,Paradise,Coldplay,Mylo Xyloto,372,2019.0,5.0,6.0,59.0
30,170,Hallelujah,Jeff Buckley,Grace,359,2018.0,4.0,5.0,54.5
31,153,True Colors,The Weeknd,Starboy,355,2018.0,8.0,7.0,55.0
32,144,Shot Down,Khalid,American Teen,352,2018.0,4.0,5.0,55.0
33,135,Redbone,Childish Gambino,Awaken My Love!,351,2018.0,9.0,10.0,58.0
34,172,Adorn,Miguel,Kaleidoscope Dream,348,2018.0,9.0,8.0,61.75
35,258,I Fall Apart,Post Malone,Stoney (Deluxe),345,2018.0,8.0,6.0,56.0
36,164,Is This Love,Bob Marley & The Wailers,Kaya - Deluxe Edition,344,2018.0,8.0,7.0,57.5
37,162,Too Good at Goodbyes,Sam Smith,The Thrill of It All (Special Edition),342,2018.0,9.0,6.0,55.0
38,265,Drugs You Should Try It,Travi$ Scott,Days Before Rodeo,341,2017.0,7.0,15.0,72.5
39,290,Betrayed,Lil Xan,Betrayed,338,2018.0,9.0,11.0,54.5
40,389,'Cause I'm A Man,Tame Impala,Currents,330,2017.0,7.0,8.0,66.0
41,163,Nights,Frank Ocean,Blonde,330,2018.0,8.5,6.0,58.25
42,231,Waiting on the World to Change,John Mayer,Continuum,329,2018.0,8.0,7.0,55.5
43,242,Attention,The Weeknd,Starboy,327,2017.0,6.0,7.0,68.0
44,227,Thinking Out Loud,Ed Sheeran,x (Wembley Edition),323,2019.0,4.0,5.0,59.5
45,233,Depression & Obsession,XXXTentacion,17,320,2018.0,9.0,7.0,57.75
46,251,Sinner Pt. 2,Phora,Sinner Pt. 2,317,2017.0,9.0,7.0,70.0
47,679,South,Hippo Campus,South - Single,313,2018.0,7.0,14.0,71.0
48,550,Breezeblocks,alt-J,An Awesome Wave,307,2018.0,6.0,14.0,78.5
49,183,Someday,The Strokes,Is This It,307,2019.0,9.0,14.0,69.5
50,229,Little Black Submarines,The Black Keys,El Camino,305,2018.0,4.0,6.0,60.0
51,446,Way It Goes,Hippo Campus,Landmark,303,2019.0,6.0,15.0,70.5
52,678,Two Weeks,Grizzly Bear,Veckatimest,299,2018.0,4.0,13.0,57.5
53,448,Souls,Hippo Campus,Bashful Creatures,296,2018.0,6.0,14.0,68.25
54,526,Little Grace,Hippo Campus,Bashful Creatures,290,2018.0,5.0,14.0,63.25
55,437,Suicide Saturday,Hippo Campus,Bashful Creatures,289,2019.0,7.0,14.0,71.0
56,228,Kiss Me,Ed Sheeran,+,288,2019.0,4.0,4.0,57.75
57,179,LOVE. FEAT. ZACARI.,Kendrick Lamar,DAMN.,287,2018.0,9.0,8.0,57.0
58,215,Juke Jam (feat. Justin Bieber & Towkio),Chance the Rapper,Coloring Book,285,2017.0,9.0,7.0,59.0
59,200,Silver Couplets,The Districts,The BBC Sessions,281,2019.0,7.0,8.0,58.0
60,191,Vertigo,Khalid,Suncity,279,2019.0,7.0,8.0,55.0
61,171,Hopeless,Khalid,Hopeless,277,2019.0,4.0,5.0,59.0
62,230,Say,John Mayer,Say,276,2018.0,8.0,5.0,54.0
63,174,No Woman No Cry - Live At The Lyceum London/1975,Bob Marley & The Wailers,Live!,275,2018.0,9.0,6.0,57.0
64,166,Stay with Me,Sam Smith,In the Lonely Hour,274,2018.0,9.0,6.0,57.0
65,292,REVENGE,XXXTentacion,Revenge,268,2019.0,5.0,8.0,68.0
66,173,Chicago,Highly Suspect,The Boy Who Died Wolf,268,2019.0,6.0,4.0,63.5
67,234,Cocoa Butter Kisses (ft. Vic Mensa & Twista),Chance the Rapper,Acid Rap,265,2018.0,9.0,8.0,57.5
68,112,Cleopatra,The Lumineers,Cleopatra,264,2019.0,4.0,11.0,63.25
69,409,Comfortable,K Camp,Comfortable,263,2017.0,8.0,6.0,63.5
70,923,Sleep on the Floor,The Lumineers,Cleopatra,263,2019.0,4.0,11.0,63.5
71,859,Live or Die,Noah Cyrus,Live or Die,261,2019.0,8.0,8.0,69.5
72,107,Bambi,Hippo Campus,Bambi,259,2019.0,4.0,10.0,56.0
73,553,The Less I Know the Better,Tame Impala,Currents,258,2018.0,7.0,14.0,72.0
74,225,7 Years,Lukas Graham,Lukas Graham,258,2019.0,4.0,5.0,59.5
75,395,Love Galore,SZA,Ctrl,256,2017.0,9.0,8.0,63.5
76,408,Free,6LACK,Free 6LACK,256,2017.0,8.0,5.0,63.5
77,397,Instinct (feat. MadeinTYO),Roy Woods,Nocturnal,251,2017.0,9.0,6.0,67.5
78,718,Violet,The Districts,Popular Manipulations,248,2019.0,6.0,14.5,69.75
79,730,Ophelia,The Lumineers,Cleopatra,248,2019.0,5.0,11.0,63.5
80,141,Happier,Ed Sheeran,÷ (Deluxe),246,2019.0,5.0,4.0,60.5
81,388,PRBLMS,6LACK,Free 6LACK,244,2017.0,9.0,6.0,62.25
82,226,Cold Blooded,Khalid,American Teen,240,2019.0,4.0,5.0,57.75
83,393,Wet Dreamz,J. Cole,2014 Forest Hills Drive,238,2017.0,9.0,8.0,57.0
84,729,Rivers and Roads,The Head and the Heart,The Head and The Heart,237,2019.0,4.0,5.0,60.5
85,674,beibs in the trap,Travis Scott,Birds in the Trap Sing McKnight,235,2017.0,7.0,15.0,76.5
86,105,Goodnight Chicago,Rainbow Kitten Surprise,RKS,235,2019.0,5.0,12.0,67.5
87,487,Uber Everywhere (feat. Travis Scott),Madeintyo,You Are Forgiven,234,2017.0,8.0,15.0,75.25
88,407,Gettin' Old,6LACK,Free 6LACK,234,2017.0,9.0,6.0,66.0
89,257,Ultralight Beam,Kanye West,The Life of Pablo,234,2019.0,6.0,4.0,63.5
90,274,Jocelyn Flores,XXXTentacion,17,234,2017.0,10.0,10.0,58.25
91,392,Three Little Birds,Bob Marley & The Wailers,Exodus,231,2017.0,8.0,7.0,57.5
92,539,Little One,Highly Suspect,The Boy Who Died Wolf,231,2019.0,5.0,8.0,56.0
93,848,In the Aeroplane Over the Sea,Neutral Milk Hotel,In the Aeroplane Over the Sea,227,2019.0,5.0,6.0,63.0
94,108,Lyla,The Districts,Telephone,227,2019.0,6.0,6.0,60.5
95,361,Often,The Weeknd,Often,225,2018.0,7.0,5.0,68.0
96,412,Let Me Explain,Bryson Tiller,Let Me Explain,225,2017.0,9.0,6.0,67.5
97,410,Slow Motion,Trey Songz,Slow Motion,224,2017.0,8.0,6.0,60.5
98,329,Pursuit of Happiness (Nightmare),Kid Cudi,Man on the Moon: The End of Day,220,2018.0,8.0,15.0,62.25
99,157,Take Me to Church,Hozier,Hozier (Expanded Edition),219,2019.0,5.0,4.0,59.5
100,403,ttktv,Injury Reserve,Live From The Dentist Office,218,2017.0,8.0,6.0,61.25
